ID,Title,Content,Excerpt,Date,"Post Type",Permalink,"Image URL","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured","Attachment URL",Categories,Status,"Author ID","Author Username","Author Email","Author First Name","Author Last Name",Slug,Format,Template,Parent,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date"
22,ffff,test,,2020-11-11,mm365_companies,http://localhost/mmsdc/company/ffff/,,,,,,,,,published,1,mmsdc,rakeshmr@v2soft.com,,,ffff,,,0,0,0,closed,closed,2020-11-11
264,Hello,,,2020-12-04,mm365_companies,http://localhost/mmsdc/company/hello/,,,,,,,,,published,3,magna_john,john@magna.kom,John,Doe,hello,,,0,0,0,closed,closed,2020-12-04
287,"Micro Biosystems CSA",,,2020-12-10,mm365_companies,http://localhost/mmsdc/company/micro-biosystems/,,,,,,,,,publish,3,magna_john,john@magna.kom,John,Doe,micro-biosystems,,,0,0,0,closed,closed,2020-12-23
329,"SOLDER DE MEXICO, S.A. DE C.V",,,2020-12-17,mm365_companies,http://localhost/mmsdc/company/solder-de-mexico-s-a-de-c-v/,,,,,,,,,publish,6,gruposolder,contacto@gruposolder.com.mx,"SOLDER DE MEXICO","S.A. DE C.V",solder-de-mexico-s-a-de-c-v,,,0,0,0,closed,closed,2020-12-28
330,"TEXILES LEON, S.A. DE C.V.",,,2020-12-17,mm365_companies,http://localhost/mmsdc/company/texiles-leon-s-a-de-c-v/,,,,,,,,,publish,7,textilesleon,mbello@textilesleon.com,TEXILES,LEON,texiles-leon-s-a-de-c-v,,,0,0,0,closed,closed,2020-12-23
363,"Fabric Leon",,,2020-12-24,mm365_companies,http://localhost/mmsdc/company/fabric-leon/,,,,,,,,,publish,8,fabric,fabric@leon.com,Fabric,Leon,fabric-leon,,,0,0,0,closed,closed,2020-12-24
366,"Fabtech Mexico Ltd",,,2020-12-24,mm365_companies,http://localhost/mmsdc/company/fabtech-mexico-ltd/,,,,,,,,,publish,9,fabmexico,fabmex@fbmex.com,Fabtech,Mexico,fabtech-mexico-ltd,,,0,0,0,closed,closed,2020-12-24
368,Warpwaste,,,2020-12-24,mm365_companies,http://localhost/mmsdc/company/warpwaste/,,,,,,,,,publish,10,warpwaste,wastemanager@gmail.com,Warp,Waste,warpwaste,,,0,0,0,closed,closed,2020-12-29
376,"Dummy Kalashinkov Aero Staffing",,,2020-12-28,mm365_companies,http://localhost/mmsdc/company/376/,,,,,,,,,publish,1,mmsdc,rakeshmr@v2soft.com,,,376,,,0,0,0,closed,closed,2020-12-29
380,"Dummy Neil Amstrong Aero Staffing",,,2020-12-29,mm365_companies,http://localhost/mmsdc/company/dummy-neil-amstrong-aero-staffing/,,,,,,,,,publish,1,mmsdc,rakeshmr@v2soft.com,,,dummy-neil-amstrong-aero-staffing,,,0,0,0,closed,closed,2020-12-29
383,"Mexican Federation of Aerospace Industries",,,2020-12-29,mm365_companies,http://localhost/mmsdc/company/mexican-federation-of-aerospace-industries/,,,,,,,,,publish,11,mexaero,mexaero@gmail.com,"Mexican Federation","of Aerospace Industries",mexican-federation-of-aerospace-industries,,,0,0,0,closed,closed,2020-12-29
387,"Gmail Company",,,2020-12-31,mm365_companies,http://localhost/mmsdc/company/gmail-company/,,,,,,,,,publish,12,testeracc,testeracc@gmail.com,tester,account,gmail-company,,,0,0,0,closed,closed,2020-12-31
