ID,Title,Content,Excerpt,Date,Post Type,Permalink,Image URL,Image Title,Image Caption,Image Description,Image Alt Text,Image Featured,Attachment URL,mm365_services_looking_for,mm365_services_industry,mm365_mr_mbe_category,mm365_services_details,mm365_service_country,mm365_service_state,mm365_service_city,mm365_location_for_search,mm365_certifications,mm365_naics_codes,mm365_number_of_employees,mm365_size_of_company,mm365_requester_id,mm365_requester_company_id,mm365_requester_company_name,mm365_matchrequest_status,mm365_matched_companies,mm365_matched_companies_approved_time,mm365_matched_companies_approved_by,Status,Author ID,Author Username,Author Email,Author First Name,Author Last Name,Slug,Format,Template,Parent,Parent Slug,Order,Comment Status,Ping Status,Post Modified Date
3041,MR-2143-1617976668,,,09-04-2021,mm365_matchrequests,https://uat.minoritysupplier.org/matchrequest/mr-2143-1617976668/,,,,,,,,Cleaning and area maintenance,Automotive,null,janitorial,233,1426,all,"'-, Michigan,United States",,,,,2143,3040,Emma John Inc,pending,"[[2202,""0""],[2207,""0""],[2210,""0""],[2230,""0""],[2269,""0""],[2276,""0""],[2311,""0""],[2362,""0""],[2413,""0""],[2423,""0""]]",,,publish,2143,raktest,raktest@yopmail.com,Rakesh,Test,mr-2143-1617976668,,,0,0,0,closed,closed,09-04-2021
3042,MR-2143-1617977966,,,09-04-2021,mm365_matchrequests,https://uat.minoritysupplier.org/matchrequest/mr-2143-1617977966/,,,,,,,,Manufacturing - Castings,Aerospace,null,Electrical equipment suppliers for Constrction,233,1426,all,"'-, Michigan,United States",,,,,2143,3040,Emma John Inc,pending,"[[2825,""0""],[2201,""0""],[2263,""0""],[2935,""0""],[2772,""0""],[2659,""0""],[2775,""0""],[2781,""0""],[2854,""0""],[2866,""0""],[2375,""0""],[2384,""0""],[2573,""0""],[2290,""0""],[2327,""0""]]",,,publish,2143,raktest,raktest@yopmail.com,Rakesh,Test,mr-2143-1617977966,,,0,0,0,closed,closed,09-04-2021
3044,MR-2144-1617979545,,,09-04-2021,mm365_matchrequests,https://uat.minoritysupplier.org/matchrequest/mr-2144-1617979545/,,,,,,,,Manufacturing - Raw Materials,Fashion and Beauty,AIF,Fashion Clothes for Events.,233,all,all,"'-, -,United States",ISO 9000,,20 to 50,"&lt;$100,000",2144,3043,H2soft Pvt Ltd,pending,"[[2922,""0""],[2950,""0""],[2551,""0""],[3013,""0""],[2315,""0""],[2543,""0""],[2840,""0""],[2859,""0""],[2914,""0""],[2964,""0""],[3020,""0""]]",,,publish,2144,raktest,raktest@yopmail.com,Rakesh,Test,mr-2144-1617979545,,,0,0,0,closed,closed,09-04-2021
3045,MR-2143-1617980470,,,09-04-2021,mm365_matchrequests,https://uat.minoritysupplier.org/matchrequest/mr-2143-1617980470/,,,,,,,,Manufacturing - Chrome Plating,Aerospace,null,Electrical Equipment for Construction,233,all,all,"'-, -,United States",,,,,2143,3040,Emma John Inc,pending,"[[2825,""0""],[2201,""0""],[2789,""0""],[2935,""0""],[2772,""0""],[2781,""0""],[2659,""0""],[2989,""0""],[2982,""0""],[2725,""0""],[2263,""0""],[2375,""0""],[2384,""0""],[2573,""0""],[2290,""0""]]",,,publish,2143,raktest,raktest@yopmail.com,Rakesh,Test,mr-2143-1617980470,,,0,0,0,closed,closed,09-04-2021
3048,MR-2144-1617980976,,,09-04-2021,mm365_matchrequests,https://uat.minoritysupplier.org/matchrequest/mr-2144-1617980976/,,,,,,,,Strategy Development,other|Management,BLM,"Contacts required for Event organizing Companies for wedding , parties",233,1426,115291,"Detroit, Michigan,United States",,,,,2144,3043,H2soft Pvt Ltd,pending,"[[2543,""0""],[2855,""0""],[2340,""0""],[2782,""0""],[2802,""0""],[2955,""0""],[2223,""0""],[2461,""0""],[2634,""0""],[2787,""0""],[2905,""0""],[2909,""0""],[2451,""0""],[2585,""0""],[2600,""0""]]",,,publish,2144,raktest,raktest@yopmail.com,Rakesh,Test,mr-2144-1617980976,,,0,0,0,closed,closed,09-04-2021
3049,MR-2144-1617981361,,,09-04-2021,mm365_matchrequests,https://uat.minoritysupplier.org/matchrequest/mr-2144-1617981361/,,,,,,,,Staffing,Home and Home Decorating,BLM,Companies which provide household things for rents,233,1426,115291,"Detroit, Michigan,United States",,,,,2144,3043,H2soft Pvt Ltd,pending,"[[2970,""0""],[3008,""0""],[2660,""0""],[2658,""0""],[2955,""0""],[2782,""0""],[2340,""0""],[2925,""0""],[2926,""0""],[2833,""0""],[2268,""0""],[2719,""0""],[2797,""0""],[2560,""0""],[2748,""0""]]",,,publish,2144,raktest,raktest@yopmail.com,Rakesh,Test,mr-2144-1617981361,,,0,0,0,closed,closed,09-04-2021
3050,MR-2144-1617981756,,,09-04-2021,mm365_matchrequests,https://uat.minoritysupplier.org/matchrequest/mr-2144-1617981756/,,,,,,,,IT,Information Technology,AIM,"In need of authorized dealers for HP laptops , software and hardware services of systems",233,1426,,"'-, Michigan,United States",,,,$1M - $5M,2144,3043,H2soft Pvt Ltd,approved,"[[2560,""1""],[2785,""1""],[2539,""0""],[2435,""1""],[2414,""1""],[2316,""0""],[2839,""0""],[2402,""0""],[2389,""0""],[2702,""0""],[2746,""0""],[3012,""0""],[2469,""0""],[2823,""0""],[2920,""0""]]",1617981795,2,publish,2144,raktest,raktest@yopmail.com,Rakesh,Test,mr-2144-1617981756,,,0,0,0,closed,closed,09-04-2021
3051,MR-2144-1617981936,,,09-04-2021,mm365_matchrequests,https://uat.minoritysupplier.org/matchrequest/mr-2144-1617981936/,,,,,,,,Software Development,Automotive|Information Technology,AIF,Looking for companies which help in developing software applications,233,1426,,"'-, Michigan,United States",,,,$1M - $5M,2144,3043,H2soft Pvt Ltd,approved,"[[2261,""1""],[3008,""0""],[3007,""1""],[3030,""1""],[2702,""1""],[2509,""1""],[2839,""1""],[2865,""0""],[2900,""0""],[2882,""0""],[2389,""0""],[2802,""1""],[2951,""0""],[2970,""0""],[2461,""0""]]",1617982142,2,publish,2144,raktest,raktest@yopmail.com,Rakesh,Test,mr-2144-1617981936,,,0,0,0,closed,closed,09-04-2021
3052,MR-2144-1617982225,,,09-04-2021,mm365_matchrequests,https://uat.minoritysupplier.org/matchrequest/mr-2144-1617982225/,,,,,,,,Manufacturing - Assemblies/Sub Assemblies,Automotive,BLM,Searching for companies which provide services for car engines,233,all,all,"'-, -,United States",ISO 9000,,,,2144,3043,H2soft Pvt Ltd,pending,"[[2970,""0""],[2566,""0""],[2833,""0""],[2925,""0""],[2926,""0""],[3008,""0""],[2943,""0""],[2285,""0""],[2637,""0""],[2658,""0""],[2812,""0""],[2938,""0""],[2381,""0""],[2402,""0""],[2498,""0""]]",,,publish,2144,raktest,raktest@yopmail.com,Rakesh,Test,mr-2144-1617982225,,,0,0,0,closed,closed,09-04-2021
3053,MR-2144-1617982645,,,09-04-2021,mm365_matchrequests,https://uat.minoritysupplier.org/matchrequest/mr-2144-1617982645/,,,,,,,,IT,Information Technology,AIM,Looking for Consulting Agencies which provide services for training in languages and other quality advisory,233,1426,127848,"Troy, Michigan,United States",,,,"$100,000 - $500,000",2144,3043,H2soft Pvt Ltd,pending,"[[2882,""0""],[2658,""0""],[2509,""0""],[2236,""0""],[2970,""0""],[2790,""0""],[2812,""0""],[3008,""0""],[2691,""0""],[2633,""0""],[2824,""0""],[2927,""0""],[2797,""0""],[2956,""0""],[2676,""0""]]",,,publish,2144,raktest,raktest@yopmail.com,Rakesh,Test,mr-2144-1617982645,,,0,0,0,closed,closed,09-04-2021
